feature,importance_mean,importance_std
customer_recovery_history,0.06219925939717417,0.0009717096646831362
customer_attempt_interaction,0.027534587898890094,0.002691809892595761
failure_reason,0.022009718400831192,0.0045738389335317755
hours_since_failure,0.015508986302755389,0.002027231969573039
customer_success_rate,0.013349009656339205,0.004120674477018672
customer_unreliability,0.013349009656339205,0.004120674477018672
failure_intervention,0.01289975198310087,0.001196192749848372
historical_recovery_rate_safe,0.008412921703432486,0.00123940093225585
historical_recovery_rate,0.008412921703432486,0.00123940093225585
amount,0.00720524720090292,0.001174232099396134
historical_recovered_payments,0.003524759166166813,0.001020994581853025
previous_recovery_success,0.003300417652183363,0.00039312164677130683
amount_band,0.0017364630813399451,0.00032827476107292835
failure_payment_method,0.0016000422938920122,0.0016136271944458432
payment_method,0.0015378656755185682,0.0005570019038496138
multiple_attempt_flag,0.0014212126854093344,0.0004564692679345942
days_since_last_success,0.0012884696276988406,0.0005998511014039839
recency_risk,0.0012884696276988406,0.0005998511014039839
customer_recovery_momentum,0.0011872171308651147,0.00015746538735417545
high_value_flag,0.001179861671390281,0.0009750603860036112
no_previous_attempt,0.001029304610264159,0.0007438061889935425
previous_attempts,0.0005599343525242162,0.0005327744044127168
intervention_strength,0.0004859200415584519,0.00033161216751685326
late_night_flag,0.0004778750077577776,0.0004175207564038424
customer_history_strength,0.0002519244870142101,0.0002921655250190429
customer_tenure_days,0.0002398569363132319,0.000560092522761747
customer_tenure_years,0.0002398569363132319,0.000560092522761747
method_intervention,0.00021572183491136432,0.000434859193672611
history_attempt_interaction,0.0001867597132290344,9.580906738291272e-05
recovery_attempt_pressure,0.00016733670305322246,0.00015256216176541212
payment_hour,0.00012757125026725548,0.00022789507031155154
historical_failed_payments,0.00010102263872517892,0.0005901084194717781
stale_failure_flag,7.458895623730921e-05,0.00010685213219316027
recent_failure_flag,4.36730406320196e-05,0.00013559826433255805
days_since_success_risk,-8.045033800607726e-06,7.245271971863959e-05
historical_failure_rate,-3.011141222524216e-05,0.00034725269345111065
previous_recovery_attempts,-3.137563182245007e-05,0.0001793282195454509
historical_payments,-3.953559467737566e-05,5.69431422335646e-05
log_amount,-5.27524359212439e-05,2.025622544194237e-05
business_hours_flag,-0.00018400141592587183,0.0005046011664040719
intervention,-0.0004627043725907498,0.0008126323223715754
